(13, 49, 22)
(13, 50, 22)
(13, 49, 22)
(13, 49, 22)
(13, 49, 21)
(13, 47, 21)
(12, 44, 19)
(14, 47, 20)
(14, 50, 21)
(12, 46, 20)
(6, 26, 10)
(5, 24, 9)
(7, 31, 13)
(10, 40, 17)
(13, 49, 21)
(14, 51, 21)
(13, 43, 17)
(12, 38, 14)
(13, 44, 18)
(8, 33, 14)
(3, 14, 5)
(2, 12, 4)
(8, 34, 14)
(8, 27, 8)
(7, 23, 5)
(4, 16, 2)
(9, 28, 8)
(10, 30, 9)
(11, 33, 11)
(14, 48, 21)
(10, 41, 19)
(8, 33, 15)
(7, 31, 14)
(10, 42, 18)
(14, 50, 22)
(14, 50, 22)
(14, 46, 19)
(13, 44, 19)
(14, 44, 19)
(13, 42, 17)
(13, 44, 18)
(13, 48, 20)
(14, 50, 21)
(13, 50, 21)
(12, 47, 20)
(12, 47, 21)
(12, 47, 20)
(12, 46, 20)
(11, 45, 19)
(11, 44, 19)
(9, 37, 16)
(11, 42, 18)
(9, 37, 15)
(8, 34, 14)
(8, 34, 14)
(11, 40, 16)
(10, 30, 9)
(13, 42, 17)
(14, 50, 21)
(12, 47, 20)
(10, 41, 18)
(9, 37, 16)
(9, 37, 16)
(9, 38, 17)
(11, 44, 19)
(13, 49, 21)
(13, 50, 21)
(13, 50, 21)
(13, 50, 21)
(13, 49, 21)
(12, 48, 21)
(10, 42, 18)
(10, 40, 18)
(10, 42, 18)
(11, 43, 19)
(11, 45, 19)
(13, 49, 21)
(13, 50, 21)
(13, 49, 22)
(13, 49, 21)
(11, 42, 19)
(8, 35, 16)
(8, 34, 15)
(8, 32, 13)
(6, 26, 11)
(4, 19, 7)
(3, 16, 6)
(4, 19, 7)
(8, 32, 14)
(8, 34, 14)
(11, 38, 15)
(12, 38, 15)
(6, 20, 4)
(7, 23, 5)
(7, 23, 5)
(6, 21, 4)
(13, 37, 14)
(14, 47, 20)
(14, 47, 19)
(14, 50, 21)
