(11, 6, 3)
(10, 5, 2)
(11, 6, 3)
(14, 8, 5)
(15, 8, 4)
(15, 8, 4)
(15, 8, 5)
(5, 2, 0)
(6, 2, 0)
(7, 3, 0)
(14, 7, 4)
(14, 8, 5)
(16, 9, 5)
(16, 9, 5)
(16, 9, 5)
(6, 3, 0)
(6, 3, 0)
(6, 2, 0)
(7, 4, 1)
(10, 5, 2)
(13, 7, 4)
(15, 8, 4)
(15, 8, 4)
(13, 7, 4)
(12, 6, 3)
(8, 4, 1)
(9, 4, 1)
(15, 7, 4)
(16, 8, 5)
(16, 9, 5)
(13, 7, 4)
(10, 5, 2)
(7, 3, 1)
(6, 3, 1)
(7, 3, 1)
(8, 4, 1)
(10, 5, 2)
(14, 8, 5)
(16, 9, 5)
(15, 8, 5)
(13, 7, 3)
(10, 5, 2)
(8, 3, 1)
(11, 5, 2)
(12, 6, 3)
(12, 6, 3)
(15, 8, 5)
(14, 7, 5)
(14, 8, 5)
(12, 7, 4)
(9, 5, 2)
(7, 3, 1)
(6, 2, 0)
(7, 3, 1)
(11, 6, 4)
(15, 8, 5)
(16, 8, 5)
(17, 8, 5)
(17, 8, 4)
(12, 6, 3)
(8, 3, 1)
(5, 2, 0)
(4, 1, 0)
(11, 5, 2)
(13, 7, 4)
(13, 7, 4)
(13, 7, 4)
(5, 2, 0)
(4, 2, 0)
(4, 1, 0)
(3, 1, 0)
(3, 1, 0)
(6, 3, 1)
(9, 5, 3)
(11, 6, 3)
(14, 8, 5)
(15, 7, 4)
(8, 3, 1)
(6, 2, 0)
(6, 3, 0)
(12, 5, 2)
(15, 7, 4)
(15, 8, 5)
(16, 8, 4)
(14, 7, 5)
(12, 6, 4)
(10, 5, 3)
(4, 2, 0)
(3, 1, 0)
(3, 1, 0)
(7, 4, 1)
(11, 6, 4)
(13, 7, 4)
(16, 9, 5)
(17, 9, 5)
(15, 8, 5)
(15, 7, 4)
(12, 5, 2)
(8, 3, 0)
(6, 2, 0)
